SEQ_NUM,SEQ_,BLOCK_NM,REGNUM_BLOCK,A_47,W_3,W_4,W_8,W_13,W_15,W_16,W_17,W_18,W_20,W_21,W_24,W_25,W_27,W_28,W_29,W_30,W_31,W_36,W_38,W_39,W_40,W_41,wa1_age,wa2_fam,wa3_liveterm,wa4_child,wa5_direct,wa6_fac,wa7_construct,wa8_weakYN,wa9_weakscore,wa10_application,Price.percent,num.Apt,subway.km,walk.YN,num.House,facility_near,hospital_near_km,hospital_near_min,supply_tot,news_3month,news_6month,supply.ratio
2351,2351,A11-1,1539_A11-1,0,46F,L,1539,1st,N,n,0,RESI,5,5,0,1,1,0,73,n,n,n,N,N,N,0,3,1,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2353,2353,A11-1,1540_A11-1,0,46F,L,1540,1st,N,n,0,RESI,4,4,0,1,0,0,89,n,n,n,N,N,N,0,3,1,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2365,2365,A11-1,1568_A11-1,5000000,46F,W,1568,1st,N,n,0,RESI,0,11,0,3,15,50,64,n,n,n,N,N,N,0,3,3,3,0,0,0,0,,0,2,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2369,2369,A11-1,1575_A11-1,0,46F,W,1575,1st,N,n,2,RESI,0,10,0,3,18,0,46,n,n,n,N,N,N,0,2,3,3,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2373,2373,A11-1,2005_A11-1,0,46F,L,2005,1st,6R,n,0,RESI,2,2,-3,1,2,0,63,n,n,n,N,N,N,0,3,1,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2376,2376,A11-1,2019_A11-1,0,46F,W,2019,1st,3R,n,1,RESI,6,9,0,2,2,0,52,n,n,n,N,N,N,0,3,2,1,0,0,0,0,Y,3,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2394,2394,A11-1,2060_A11-1,0,46F,W,2060,1st,N,n,1,RESI,0,7,0,1,9,0,51,n,n,n,N,N,N,0,3,1,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2396,2396,A11-1,2064_A11-1,0,46F,L,2064,1st,N,n,1,RESI,0,2,-3,2,1,0,45,n,n,n,N,N,N,0,2,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2399,2399,A11-1,2077_A11-1,3680000,46F,W,2077,1st,N,n,0,RESI,0,10,0,1,13,59,31,n,Y,n,N,N,N,0,1,1,3,0,0,3,0,,0,2,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2401,2401,A11-1,3006_A11-1,0,46F,W,3006,1st,N,n,0,RESI,7,7,0,1,9,0,68,n,n,n,N,N,N,0,3,1,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2414,2414,A11-1,3020_A11-1,1120000,46F,L,3020,1st,3R,n,0,RESI,5,5,0,1,2,32,64,n,n,n,N,N,N,0,3,1,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2420,2420,A11-1,3036_A11-1,0,46F,W,3036,1st,2R,n,0,RESI,4,7,0,1,0,0,51,n,n,n,N,N,N,0,3,1,0,0,0,0,0,Y,3,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2422,2422,A11-1,3042_A11-1,5500000,46F,L,3042,1st,N,n,0,RESI,4,4,-3,1,1,55,73,n,n,n,N,N,N,0,3,1,1,0,0,0,0,,0,2,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2424,2424,A11-1,3053_A11-1,0,46F,W,3053,1st,3R,n,0,RESI,7,7,0,1,12,0,52,n,n,n,N,N,N,0,3,1,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2442,2442,A11-1,3072_A11-1,0,46F,W,3072,1st,N,n,0,RESI,6,9,0,2,2,0,67,n,Y,n,N,N,N,0,3,2,1,0,0,3,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
2470,2470,A11-1,3119_A11-1,0,46F,W,3119,1st,N,n,2,RESI,0,10,0,3,6,0,41,n,n,n,N,N,N,0,2,3,3,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,0.1,10.06,46,1144,14,30,0.974342319
