,SEQ_NUM,SEQ_,BLOCK_NM,REGNUM_BLOCK,A_47,W_3,W_4,W_8,W_13,W_15,W_16,W_17,W_18,W_20,W_21,W_24,W_25,W_27,W_28,W_29,W_30,W_31,W_36,W_38,W_39,W_40,W_41,wa1_age,wa2_fam,wa3_liveterm,wa4_child,wa5_direct,wa6_fac,wa7_construct,wa8_weakYN,wa9_weakscore,wa10_application,Price.percent,num.Apt,subway.km,walk.YN,num.House,supply
833,2335,2335,A11-1,1508_A11-1,0,46F,W,1508,1st,N,n,1,RESI,5,5,0,2,4,0,31,n,n,n,5,2nd,RESI,1,1,2,2,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
834,2347,2347,A11-1,1533_A11-1,0,46F,W,1533,1st,N,n,1,RESI,2,2,0,2,0,0,28,n,n,n,1,1st,RESI,1,0,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
835,2349,2349,A11-1,1535_A11-1,0,46F,W,1535,1st,N,n,1,RESI,2,2,0,2,0,0,29,n,n,n,1,1st,RESI,1,0,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
846,2379,2379,A11-1,2026_A11-1,11000000,46F,W,2026,1st,N,n,1,RESI,14,14,0,3,15,110,43,Y,n,n,4,2nd,RESI,1,2,3,3,0,3,0,0,,0,3,0.417262834,24447,2.17,n,216005,72
861,2433,2433,A11-1,3064_A11-1,4200000,46F,W,3064,1st,N,n,1,RESI,3,3,-3,2,1,52,31,n,n,n,4,2nd,RESI,1,1,2,1,0,0,0,0,,0,2,0.417262834,24447,2.17,n,216005,72
877,2489,2489,A11-1,3506_A11-1,0,46F,W,3506,1st,N,n,2,RESI,6,6,0,3,0,0,35,n,n,n,3,1st,RESI,2,1,3,0,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
890,2547,2547,A11-1,4016_A11-1,0,46F,W,4016,1st,N,n,1,RESI,2,2,0,2,0,0,29,n,n,n,1,1st,RESI,1,0,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
895,2562,2562,A11-1,4029_A11-1,0,46F,W,4029,1st,N,n,2,RESI,7,7,0,3,0,0,41,n,n,n,3,1st,RESI,2,2,3,0,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
903,2600,2600,A11-1,4509_A11-1,0,46F,W,4509,2nd,N,n,2,RESI,6,6,0,4,0,0,32,n,n,n,3,1st,N_RESI,2,1,3,0,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
905,2620,2620,A11-1,4542_A11-1,0,46F,W,4542,1st,N,n,2,RESI,8,8,0,3,3,0,34,n,n,n,3,1st,RESI,2,1,3,2,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
931,2725,2725,A11-1,5515_A11-1,0,46F,W,5515,1st,N,n,1,RESI,3,3,0,2,0,0,30,n,n,n,3,1st,RESI,1,1,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
957,2827,2827,A11-1,7003_A11-1,0,46F,W,7003,1st,N,n,1,RESI,7,7,0,2,31,0,42,n,n,n,4,2nd,RESI,1,2,2,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
959,2841,2841,A11-1,7016_A11-1,0,46F,W,7016,1st,N,n,1,RESI,5,5,0,2,5,0,26,n,n,n,5,2nd,RESI,1,0,2,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
960,2844,2844,A11-1,7022_A11-1,0,46F,W,7022,1st,N,n,1,RESI,4,4,0,2,1,0,35,n,n,n,4,2nd,RESI,1,1,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
967,2879,2879,A11-1,10015_A11-1,1800000,46F,W,10015,1st,N,n,1,RESI,4,4,0,2,1,18,31,n,n,n,2,1st,RESI,1,1,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
968,2891,2891,A11-1,10038_A11-1,0,46F,W,10038,1st,N,n,1,RESI,3,3,0,2,1,0,27,n,n,n,2,1st,RESI,1,0,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
982,2949,2949,A11-1,10542_A11-1,0,46F,W,10542,1st,N,n,2,RESI,6,6,0,3,0,0,36,n,n,n,3,1st,RESI,2,1,3,0,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
983,2955,2955,A11-1,10547_A11-1,0,46F,W,10547,1st,N,n,2,RESI,7,7,0,3,1,0,36,n,n,n,4,2nd,RESI,2,1,3,1,2,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
993,3000,3000,A11-1,12020_A11-1,0,46F,W,12020,1st,N,n,1,RESI,2,2,0,2,0,0,29,n,n,n,2,1st,RESI,1,0,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
995,3007,3007,A11-1,12025_A11-1,0,46F,W,12025,1st,N,n,1,RESI,6,6,0,2,6,0,33,n,n,n,5,2nd,RESI,1,1,2,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1018,3080,3080,A11-1,12507_A11-1,0,46F,W,12507,1st,N,n,1,RESI,3,3,0,2,0,0,33,n,n,n,1,1st,RESI,1,1,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1020,3087,3087,A11-1,12517_A11-1,0,46F,W,12517,1st,N,n,1,RESI,5,5,0,2,0,0,28,n,Y,n,1,1st,RESI,1,0,2,0,0,0,3,0,,0,0,0.417262834,24447,2.17,n,216005,72
1036,3148,3148,A11-1,50018_A11-1,0,46F,W,50018,1st,N,n,1,RESI,5,5,0,2,3,0,32,n,n,n,5,2nd,RESI,1,1,2,2,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1037,3151,3151,A11-1,50019_A11-1,460000,46F,W,50019,1st,N,n,1,RESI,6,6,0,2,6,23,30,n,n,n,5,2nd,RESI,1,1,2,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1039,3187,3187,A11-1,50067_A11-1,0,46F,W,50067,1st,N,n,1,RESI,5,5,0,2,27,0,27,n,n,n,2,1st,RESI,1,0,2,3,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1040,3190,3190,A11-1,50068_A11-1,180000,46F,W,50068,1st,N,n,1,RESI,2,2,0,2,0,9,29,n,n,n,1,1st,RESI,1,0,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1044,3207,3207,A11-1,50090_A11-1,3600000,46F,W,50090,1st,N,n,1,RESI,7,7,0,2,23,36,31,n,n,n,5,2nd,RESI,1,1,2,3,0,0,0,0,,0,1,0.417262834,24447,2.17,n,216005,72
1045,3214,3214,A11-1,50098_A11-1,700000,46F,W,50098,1st,N,n,1,RESI,4,4,0,2,1,32,36,n,n,n,2,1st,RESI,1,1,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1046,3216,3216,A11-1,50101_A11-1,780000,46F,W,50101,1st,N,n,1,RESI,4,4,0,2,3,24,29,n,n,n,5,2nd,RESI,1,0,2,2,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1047,3230,3230,A11-1,50123_A11-1,0,46F,W,50123,1st,N,n,1,RESI,4,4,0,2,2,0,35,n,n,n,2,1st,RESI,1,1,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1048,3238,3238,A11-1,50127_A11-1,0,46F,W,50127,1st,N,n,1,RESI,2,2,0,2,0,0,28,n,n,n,1,1st,RESI,1,0,2,0,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1049,3241,3241,A11-1,50129_A11-1,320000,46F,W,50129,1st,N,n,1,RESI,5,5,0,2,0,16,24,n,n,Y,1,1st,RESI,1,0,2,0,0,0,0,3,,0,0,0.417262834,24447,2.17,n,216005,72
1050,3260,3260,A11-1,50142_A11-1,500000,46F,W,50142,1st,N,n,1,RESI,1,1,-3,2,1,25,31,n,n,n,2,1st,RESI,1,1,2,1,0,0,0,0,,0,0,0.417262834,24447,2.17,n,216005,72
1052,3283,3283,A11-1,50159_A11-1,0,46F,W,50159,1st,N,n,2,RESI,9,9,0,3,0,0,35,n,Y,n,5,2nd,RESI,2,1,3,0,2,0,3,0,,0,0,0.417262834,24447,2.17,n,216005,72
